method,threads,padding,time,m,n,p
padding,8,4,0.048507,8000,8000,1
padding,8,4,0.052134,8000,8000,1
padding,8,4,0.048278,8000,8000,1
padding,8,4,0.053100,8000,8000,1
padding,2,8,0.144803,8000,8000,1
padding,2,8,0.141932,8000,8000,1
padding,2,8,0.120949,8000,8000,1
padding,2,8,0.118710,8000,8000,1
padding,4,8,0.081243,8000,8000,1
padding,4,8,0.093460,8000,8000,1
padding,4,8,0.072503,8000,8000,1
padding,4,8,0.079037,8000,8000,1
padding,8,8,0.055020,8000,8000,1
padding,8,8,0.052276,8000,8000,1
padding,8,8,0.057933,8000,8000,1
padding,8,8,0.049478,8000,8000,1
padding,2,16,0.141352,8000,8000,1
padding,2,16,0.116489,8000,8000,1
padding,2,16,0.128650,8000,8000,1
padding,2,16,0.117006,8000,8000,1
padding,4,16,0.085722,8000,8000,1
padding,4,16,0.092590,8000,8000,1
padding,4,16,0.070075,8000,8000,1
padding,4,16,0.067280,8000,8000,1
padding,8,16,0.053561,8000,8000,1
padding,8,16,0.050628,8000,8000,1
padding,8,16,0.051680,8000,8000,1
padding,8,16,0.051021,8000,8000,1
padding,2,2,0.216550,8000,8000,2
padding,2,2,0.251452,8000,8000,2
padding,2,2,0.224926,8000,8000,2
padding,2,2,0.210356,8000,8000,2
padding,4,2,0.134386,8000,8000,2
padding,4,2,0.154803,8000,8000,2
padding,4,2,0.130056,8000,8000,2
padding,4,2,0.151437,8000,8000,2
padding,8,2,0.097333,8000,8000,2
padding,8,2,0.134993,8000,8000,2
padding,8,2,0.104243,8000,8000,2
padding,8,2,0.099979,8000,8000,2
padding,2,4,0.265273,8000,8000,2
padding,2,4,0.218621,8000,8000,2
padding,2,4,0.254575,8000,8000,2
padding,2,4,0.217082,8000,8000,2
padding,4,4,0.155273,8000,8000,2
padding,4,4,0.171395,8000,8000,2
padding,4,4,0.142496,8000,8000,2
padding,4,4,0.128058,8000,8000,2
padding,8,4,0.092745,8000,8000,2
padding,8,4,0.090479,8000,8000,2
padding,8,4,0.100050,8000,8000,2
padding,8,4,0.099311,8000,8000,2
padding,2,8,0.235781,8000,8000,2
padding,2,8,0.286262,8000,8000,2
padding,2,8,0.213449,8000,8000,2
padding,2,8,0.236650,8000,8000,2
padding,4,8,0.177717,8000,8000,2
padding,4,8,0.132499,8000,8000,2
padding,4,8,0.150844,8000,8000,2
padding,4,8,0.168568,8000,8000,2
padding,8,8,0.094478,8000,8000,2
padding,8,8,0.147994,8000,8000,2
padding,8,8,0.097064,8000,8000,2
padding,8,8,0.104266,8000,8000,2
padding,2,16,0.249339,8000,8000,2
padding,2,16,0.244741,8000,8000,2
padding,2,16,0.225083,8000,8000,2
padding,2,16,0.230615,8000,8000,2
padding,4,16,0.137328,8000,8000,2
padding,4,16,0.176431,8000,8000,2
padding,4,16,0.153785,8000,8000,2
padding,4,16,0.148619,8000,8000,2
padding,8,16,0.102164,8000,8000,2
padding,8,16,0.099691,8000,8000,2
padding,8,16,0.092483,8000,8000,2
padding,8,16,0.093773,8000,8000,2
padding,2,2,0.480676,8000,8000,4
padding,2,2,0.551013,8000,8000,4
padding,2,2,0.505135,8000,8000,4
padding,2,2,0.517660,8000,8000,4
padding,4,2,0.295628,8000,8000,4
padding,4,2,0.282353,8000,8000,4
padding,4,2,0.295994,8000,8000,4
padding,4,2,0.281470,8000,8000,4
padding,8,2,0.231110,8000,8000,4
padding,8,2,0.220425,8000,8000,4
padding,8,2,0.215591,8000,8000,4
padding,8,2,0.208155,8000,8000,4
padding,2,4,0.451621,8000,8000,4
padding,2,4,0.491517,8000,8000,4
padding,2,4,0.458445,8000,8000,4
padding,2,4,0.570266,8000,8000,4
padding,4,4,0.288094,8000,8000,4
padding,4,4,0.299673,8000,8000,4
padding,4,4,0.279106,8000,8000,4
padding,4,4,0.289185,8000,8000,4
padding,8,4,0.216213,8000,8000,4
padding,8,4,0.209301,8000,8000,4
padding,8,4,0.203919,8000,8000,4
padding,8,4,0.219731,8000,8000,4
padding,2,8,0.502035,8000,8000,4
padding,2,8,0.458881,8000,8000,4
padding,2,8,0.453361,8000,8000,4
padding,2,8,0.513718,8000,8000,4
padding,4,8,0.360741,8000,8000,4
padding,4,8,0.380408,8000,8000,4
padding,4,8,0.342640,8000,8000,4
